,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
3777 HK Equity,20140630,#N/A N/A,3.311760189,38.70610804,24.14790037,-0.155357945,1.93508525,0.386081688,1775.79
3300 HK Equity,20140630,6.972681697,5.622121698,5.312865403,7.626107051,2.819000903,0.717216775,23.55500507,2760.373
8 HK Equity,20140630,17.36184717,5.527313218,10.50140168,15.21396932,2.69920935,1.123116456,23.50550939,27317
152 HK Equity,20140630,15.25244944,8.93962636,13.28702874,42.75872016,2.827735022,1.185555732,49.16276258,5962.765
1186 HK Equity,20140630,9.182415646,#N/A N/A,2.87164902,2.850047896,#N/A N/A,14.17905275,-3.187699019,588162.712
8037 HK Equity,20140630,#N/A N/A,#N/A N/A,0.971626597,-48.57395425,#N/A N/A,3.838312912,-39.32767744,81.449
27 HK Equity,20140630,21.45785178,23.37257316,8.98246555,15.39968477,-0.895749912,2.590115168,20.88041009,66032.501
8198 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,-21.9955646,#N/A N/A,12.10717852,-20.22873481,54.561
940 HK Equity,20140630,44.20187272,9.643050346,9.12025919,31.57227203,-3.491179692,4.537527876,47.31095561,914.6
712 HK Equity,20140630,#N/A N/A,16.02158831,2.538701085,1.994391341,1.112013912,1.120142951,5.051419818,937.479
1259 HK Equity,20140630,0.49004738,5.210157402,18.13856906,17.69489185,-2.699042769,5.659904468,14.87507928,1712.206
2369 HK Equity,20140630,2.932940674,11.80278872,7.759257666,2.027539915,2.802514727,28.38652199,3.560296607,19639.712
724 HK Equity,20140630,#N/A N/A,49.92093007,5.188039084,-1.992465036,15.66952889,12.95399131,-8.521202687,660.388
8137 HK Equity,20140630,1.893111915,3.135169782,2.000720202,20118.48529,0.280672057,0.001364532,301.7945007,10.365
692 HK Equity,20140630,7.846153699,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,939.789
8143 HK Equity,20140630,5.066666504,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2243.159
135 HK Equity,20140630,8.90396256,8.645923968,#N/A N/A,29.10660834,0.958296931,0.55232669,33.38245452,34424.06034
2357 HK Equity,20140630,25.44288699,10.08295297,1.371409045,8.054631577,-1.490440666,2.395613077,2.89613587,22824.309
1313 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
313 HK Equity,20140630,#N/A N/A,#N/A N/A,0.074110939,-164.4072918,#N/A N/A,0.08353972,-147.3145044,69.503
215 HK Equity,20140630,7.733341901,7.039848486,21.19892473,10.47976833,1.631264024,1.229562623,13.57908742,12777
8158 HK Equity,20140630,#N/A N/A,#N/A N/A,0.542589438,-12254.19441,#N/A N/A,0.005688403,-22466.97736,0.751
698 HK Equity,20140630,8.188689062,5.401052354,2.993351137,12.57039713,1.102255114,2.763370777,1.487634339,3627.101
207 HK Equity,20140630,1.154134878,5.134449856,3.471712751,42.56189933,-1.359216233,0.581283134,59.98116967,5536.336014
1800 HK Equity,20140630,7.191044211,6.979734874,9.934793122,5.790571372,3.718326912,5.157548673,0.056962369,331798
951 HK Equity,20140630,7.969526871,6.48114011,9.070947251,4.36952076,2.16608707,5.3152027,4.007788304,14973.221
145 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
690 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.624
587 HK Equity,20140630,6.457376908,6.348985272,5.35680018,17.1245726,-6.012883209,5.679758439,10.55248946,2091.696
1174 HK Equity,20140630,3.173912997,11.66024595,3.75625794,6.631238219,7.652055726,1.662790188,#N/A N/A,13039.239
697 HK Equity,20140630,#N/A N/A,#N/A N/A,5.052996226,-9.718674935,#N/A N/A,1.277200395,10.8266469,15266.361
627 HK Equity,20140630,0.019986871,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,334.6
1268 HK Equity,20140630,#N/A N/A,9.886747319,8.41981156,5.003358084,3.324927092,10.16639739,0.810193401,3479.663
460 HK Equity,20140630,7.739889555,15.91363302,10.71812404,30.89318993,-1.406032901,3.298779799,33.59443869,4732.7
1278 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
897 HK Equity,20140630,7.132540539,15.99079894,3.125900565,2.284377011,-0.126002351,1.338688453,7.288877902,857.608
201 HK Equity,20140630,2.355881869,11.83970525,19.79495712,37.87358291,1.350904995,0.119742991,54.7032535,688.736
1679085D HK Equity,20140630,#N/A N/A,9.424811107,73.07704893,22.23992748,3.699818765,0.614612524,13.93033116,6865.508
2342 HK Equity,20140630,#N/A N/A,46.24490377,1.942726107,-1.085270966,3.561655728,6.852190255,4.465109336,5720.599
1121 HK Equity,20140630,6.099628653,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,624.122
1919 HK Equity,20140630,#N/A N/A,35.95077927,26.25541058,-2.117573579,17.22576799,0.78989444,-7.278857767,66147.123
2866 HK Equity,20140630,#N/A N/A,#N/A N/A,21.21949605,-6.944675277,#N/A N/A,1.015246724,-1.988613021,35353.46597
1231 HK Equity,20140630,#N/A N/A,#N/A N/A,1.515584416,-2442.209894,#N/A N/A,0.002993877,-1671.428571,2.163
354 HK Equity,20140630,37.2016232,9.368124981,100.328182,7.887061231,0.70489242,16.39898414,-1.903876656,3205.985
1928 HK Equity,20140630,17.16539226,23.66574501,#N/A N/A,25.77987595,0.102392039,1.331586607,34.00474794,8907.859
8089 HK Equity,20140630,#N/A N/A,#N/A N/A,#N/A N/A,-349.660623,#N/A N/A,0.047896645,458.9772199,10.755
6888 HK Equity,20140630,1.03804456,12.9029448,#N/A N/A,34.04850257,-2.332553377,#N/A N/A,-36.74720737,628.709
151 HK Equity,20140630,17.83110524,18.58272802,4.486439107,23.04299618,-0.814087352,2.963072111,24.96281149,23471.87159
402 HK Equity,20141231,#N/A N/A,#N/A N/A,2.123839197,-5.543837446,#N/A N/A,9.256913734,-3.551591487,796.488
269 HK Equity,20141231,#N/A N/A,28.93481388,23.75292471,4.079613432,20.53834852,0.249354071,-51.80024122,4878.624
3988 HK Equity,20141231,4.794867885,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.647249274,#N/A N/A,727736
2823 HK Equity,20141231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
939 HK Equity,20141231,6.240884396,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
686 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
261 HK Equity,20141231,#N/A N/A,29.10656627,2.035294118,2.199816682,19.34328358,2.435267857,-4.03299725,1091
433 HK Equity,20141231,1.242836375,23.09797306,1.884577154,69.87406447,0.123002307,0.09503735,-11.7833418,228.212
1816 HK Equity,20141231,12.76015815,#N/A N/A,#N/A N/A,47.37100567,6.19633438,#N/A N/A,27.31856876,18948.101
702 HK Equity,20141231,#N/A N/A,#N/A N/A,1.877072849,-48.42557765,#N/A N/A,0.080292868,-1249.554003,18.61
8179 HK Equity,20141231,41.89189221,44.52218741,16.24963531,6.778595396,-1.196732363,6.574577937,8.964502266,424.675
1387 HK Equity,20141231,#N/A N/A,#N/A N/A,0.003882665,-450.0611989,#N/A N/A,0.020887594,-331.4615643,560.468
1063 HK Equity,20141231,#N/A N/A,542.0353992,151.0125196,4.608699588,1.043229621,3133.758865,-7.3199656,220.93
1288 HK Equity,20141231,5.162237198,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.977561835,#N/A N/A,717635
364 HK Equity,20141231,#N/A N/A,#N/A N/A,5.321197733,2.97066781,#N/A N/A,1.695258522,#N/A N/A,867.852
6828 HK Equity,20141231,#N/A N/A,#N/A N/A,5.206463885,-39.47857699,#N/A N/A,0.981640918,-1.797477829,168.347
981 HK Equity,20141231,816.916699,6.222088508,4.985207775,6.918268914,0.851315179,0.723045877,31.76625993,1975.87
931 HK Equity,20141231,17.10105524,20.26465422,#N/A N/A,98.23271978,-1.407184725,4.342145497,51.23493765,370.626
493 HK Equity,20141231,8.806602021,2.622961531,6.331590858,2.367211051,-5.742011846,13.6459587,6.526728085,58410.339
1094 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-325.7346394,#N/A N/A,0.363236459,649.8308103,11.23
582 HK Equity,20141231,#N/A N/A,#N/A N/A,0.349387865,-70.35514712,#N/A N/A,0.148689501,-82.34222305,188.795
745 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-899.2180712,#N/A N/A,5.567110036,-205.5169418,2.302
8201 HK Equity,20141231,137.4045856,40.6037727,#N/A N/A,8.390558162,-1.523169818,#N/A N/A,7.712146164,193.098
2348 HK Equity,20141231,6.026869574,13.70797102,2.99921457,24.50344326,-0.473322696,1.329808166,39.0239263,877.946
8079 HK Equity,20141231,#N/A N/A,5.769667119,6.742528736,21.3181257,-2.676575604,3.534092877,-207.7801948,51.027
8171 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-10.67434961,#N/A N/A,44.67155145,-52.90963031,70.112
1041 HK Equity,20141231,3.833494655,#N/A N/A,#N/A N/A,-7626,#N/A N/A,0.005647739,-5940,0.25
471 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-590.5701957,#N/A N/A,24.63251641,-467.7790403,0.551793
789 HK Equity,20141231,#N/A N/A,#N/A N/A,6.363654306,-79.17861154,#N/A N/A,2.663619247,-24.20967476,127.321
1174 HK Equity,20141231,1.788836036,12.03284697,3.985022392,10.21557752,7.766680315,1.563613784,6.028797841,12540.593
386 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
857 HK Equity,20141231,5.178584397,5.538545497,#N/A N/A,8.158718359,1.220558798,1.399318265,#N/A N/A,2329888
1803 HK Equity,20141231,4.028222127,10.86218327,#N/A N/A,9.293641477,-1.645430156,99.89258898,10.18070651,871.413
6863 HK Equity,20141231,3.754363441,11.41358211,3.178425705,45.8032568,1.764669638,0.536690251,26.65928403,3991.345
998 HK Equity,20141231,4.532670624,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.40384177,#N/A N/A,229226
1438 HK Equity,20141231,#N/A N/A,#N/A N/A,0.417176229,32.77457682,-0.438854473,5.834464327,26.6599864,139.715
689 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-166.7662392,#N/A N/A,0.574073216,-105.8463277,86.704
555 HK Equity,20141231,0.198319008,6.251246826,3.36182961,53.43592197,-0.425396526,9.448407561,10.70168525,2266.073
8019 HK Equity,20141231,#N/A N/A,#N/A N/A,24.62704115,-281.3031019,#N/A N/A,11.46125036,-80.574129,19.891
1619 HK Equity,20141231,#N/A N/A,#N/A N/A,6.335252909,58.80644722,-0.037233337,1.316278113,48.11220958,5033.795
3800 HK Equity,20141231,5.207038819,10.36398568,10.57111931,14.28153974,5.05379517,0.68646758,28.56292686,24889.352
913 HK Equity,20141231,0.396341469,5.251514962,#N/A N/A,#N/A N/A,-0.194163291,280.0539342,#N/A N/A,399.776991
288 HK Equity,20141231,153.4927953,#N/A N/A,#N/A N/A,5.612327656,5.056221889,#N/A N/A,3.66044877,18495
2628 HK Equity,20141231,17.94782844,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,411334
3898 HK Equity,20141231,13.49484662,#N/A N/A,3.119673066,19.8789889,#N/A N/A,6.876863987,#N/A N/A,12737.14162
8072 HK Equity,20141231,26.67471118,2.194965335,#N/A N/A,120.2736587,-0.218434923,24.34925324,-5.093016986,74.18
723 HK Equity,20141231,#N/A N/A,11.19134372,6.760676707,58.13835075,0.511781759,0.234176227,-40.32441869,41.243
390 HK Equity,20141231,9.227998223,7.999950294,3.810059434,3.370322318,5.128280777,9.945587747,-0.900991178,568818
139 HK Equity,20141231,#N/A N/A,#N/A N/A,23.57028571,-85.64008135,#N/A N/A,26.83333333,29.36843841,36.386
8078 HK Equity,20141231,#N/A N/A,#N/A N/A,1080.463492,-7.123079157,#N/A N/A,21.6436738,#N/A N/A,199.717
1800 HK Equity,20141231,7.009508851,8.021831302,8.116481693,6.008496459,5.300269393,5.284110849,-2.42813221,349322
566 HK Equity,20141231,#N/A N/A,11.36489905,0.726011744,64.97255112,0.055339327,16.74430347,#N/A N/A,4390.708
883 HK Equity,20141231,8.656096093,3.769273519,#N/A N/A,28.46899835,0.19775589,0.675031993,39.72061758,285630
1031 HK Equity,20141231,12.40410333,10.21276279,#N/A N/A,63.07969352,3.299931702,0.723548043,-119.1504407,2186.263
816 HK Equity,20141231,6.359621178,10.19016203,#N/A N/A,34.17741117,6.164101772,0.257973681,18.68033045,13764.173
1918 HK Equity,20141231,32.74837725,4.982764406,0.46286278,19.73738201,2.373278069,102.2576919,36.44944188,31340.96
6881 HK Equity,20141231,10.62223626,1.699104687,#N/A N/A,#N/A N/A,-5.162818168,23.61033947,#N/A N/A,9337.299
1051 HK Equity,20141231,2.124766308,1.824720312,5.630001638,26.18421639,-1.274578422,0.460549164,57.59027375,403.938
3328 HK Equity,20141231,5.58104937,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5.354284968,#N/A N/A,328132
715 HK Equity,20141231,25.91646626,17.92571142,#N/A N/A,52.93887573,-94.33175125,0.090071506,158.6949436,92.042
204 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-25.61107168,#N/A N/A,-18.043
2322 HK Equity,20141231,#N/A N/A,#N/A N/A,110.2880299,-6.653556211,#N/A N/A,2.491662056,-38.99514702,94.581
1177 HK Equity,20141231,46.53638047,14.03039805,3.57780756,19.90409188,-1.58334115,5.174876663,#N/A N/A,9231.081248
8158 HK Equity,20141231,#N/A N/A,#N/A N/A,0.427016219,-8727.956403,#N/A N/A,0.012831136,-5760.490463,1.835
787 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
535 HK Equity,20141231,9.306034276,5.771561347,0.006751907,397.9649427,2.025920089,0.10901695,-609.5502845,272.8281379
8066 HK Equity,20141231,#N/A N/A,#N/A N/A,9.964879306,-17.39798002,#N/A N/A,2.51601911,-2.041444447,151.504686
1060 HK Equity,20141231,52.50088482,11.80097551,#N/A N/A,34.76807878,-0.664658328,3.975272115,-35.59436221,595.326196
728 HK Equity,20141231,14.01604408,3.368005749,#N/A N/A,9.030660792,0.825678895,0.763799393,27.35168092,329998
231 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-164.7772843,#N/A N/A,0.013545369,-464.1797874,37.155
232 HK Equity,20141231,2.763136767,#N/A N/A,8.806113013,-102.9032681,#N/A N/A,1.4307006,-153.2535327,66.335864
460 HK Equity,20141231,6.741123921,18.48964516,8.162309465,80.03380653,-1.160220157,1.31788925,71.16315079,2261.693
651 HK Equity,20141231,#N/A N/A,#N/A N/A,2.60894027,-130.1682589,#N/A N/A,0.219380859,-99.63852712,186.736
585 HK Equity,20141231,80.43665476,7.127862664,#N/A N/A,#N/A N/A,-8.538672254,#N/A N/A,#N/A N/A,#N/A N/A
2277 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1371 HK Equity,20141231,15.59511531,10.98899569,7.238178712,50.40386524,-0.081631907,1.361323665,35.48276038,862.664
934 HK Equity,20141231,12.78313862,44.86120226,456.4667148,0.972934908,-4.066158118,6.099956382,3.758064306,13817.06
850 HK Equity,20141231,#N/A N/A,#N/A N/A,70.36991643,-18.19929903,#N/A N/A,3.218195029,-18.20513529,651.102
914 HK Equity,20141231,18.78456311,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,61672.41915
1186 HK Equity,20141231,9.078854247,#N/A N/A,2.54245867,3.051268267,#N/A N/A,13.6317127,-3.498517059,589644.647
721 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-82.97029703,#N/A N/A,-71.23
182 HK Equity,20141231,15.74868586,12.27721786,4.254764303,14.54186149,0.517299909,1.253728679,18.49577685,2089.467593
688 HK Equity,20141231,8.562959242,5.943886403,0.431203294,33.67771039,1.321306744,2.948623448,-23.72949999,99855.568
1339 HK Equity,20141231,16.83398118,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,345255
2389 HK Equity,20141231,15.1864901,17.72621414,#N/A N/A,#N/A N/A,2.053129092,#N/A N/A,#N/A N/A,#N/A N/A
1009 HK Equity,20141231,6.663920468,20.25351914,76.19880931,18.75283629,-7.727838834,0.343290066,69.88903785,385.627
136 HK Equity,20141231,#N/A N/A,#N/A N/A,18.09387079,-371.1211998,#N/A N/A,3.058250913,-123.6380331,98.02
8125 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
459 HK Equity,20141231,194.3198733,#N/A N/A,#N/A N/A,1.249844736,-44.95893426,6.355414553,13.24676055,426.693
2899 HK Equity,20141231,22.65941884,#N/A N/A,4.416438002,7.813595806,#N/A N/A,1.744453389,12.2835464,52421.52394
587 HK Equity,20141231,5.407942241,7.342918031,12.2444518,25.87371498,-5.024801393,4.169644708,15.98391346,1860.189
2318 HK Equity,20141231,18.5672014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
887 HK Equity,20141231,4.851830207,9.105409494,1.32728295,4.453980738,-1.28678121,63.57895417,-0.034518257,6396.615
1359 HK Equity,20141231,4.747359212,13.23325812,#N/A N/A,#N/A N/A,8.738023137,2.199094948,#N/A N/A,47357.767
175 HK Equity,20141231,45.07859597,3.549928123,9.949604577,12.35877325,-1.276616597,3.221801521,8.007777954,24010.943
992 HK Equity,20141231,7.972470321,7.376364614,12.80874222,3.153750253,-1.941534206,39.74936633,5.209398654,41016.596
762 HK Equity,20141231,14.16424628,3.523723334,#N/A N/A,6.793426761,1.1774977,0.69084486,27.51105246,290207
691 HK Equity,20141231,8.518900315,6.272804112,6.991569248,13.78264286,4.342099143,0.807199698,14.99357884,16815.505
1788 HK Equity,20141231,2.86086389,14.38368576,#N/A N/A,#N/A N/A,5.868758796,3.815615149,#N/A N/A,1582.555
1220 HK Equity,20141231,#N/A N/A,#N/A N/A,110.0768738,-3.764174663,#N/A N/A,305.9497645,14.40710144,97.445
2012 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1117 HK Equity,20141231,5.629268889,12.43678298,#N/A N/A,25.26885496,3.498245795,1.118861739,21.79407698,4485.783
606 HK Equity,20141231,23.89705795,28.05842422,4.311938037,0.049196466,16.11505234,3.627288172,-0.91199665,99273.391
235 HK Equity,20141231,2.517095748,1.968845107,59.16821372,16.55939414,-12.06640991,19.62548503,-64.71304747,283.235
810 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.293224791,#N/A N/A,17.679934
1129 HK Equity,20141231,6.98425211,10.41926938,3.483311142,25.68619764,-0.208123734,2.912986746,21.49005009,545.834
307 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-27.96406006,#N/A N/A,0.016713722,-48.32377732,314.636
3900 HK Equity,20141231,4.254099062,7.866887556,0.356784982,20.57575721,4.116886896,4.263887973,-15.490021,31336.82
607 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,365.978
3777 HK Equity,20141231,#N/A N/A,3.971586915,11.54003272,23.51127014,0.168055913,2.004884519,-11.80115519,1983.738
579 HK Equity,20141231,6.500272598,11.727128,#N/A N/A,32.76336041,6.288911835,0.307050259,36.31338844,6610.314
2328 HK Equity,20141231,11.45562479,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,204916
902 HK Equity,20141231,3.761216741,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135789.7262
2800 HK Equity,20141231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
308 HK Equity,20141231,4.174097957,3.739952289,17.87800796,29.19558883,-1.452761891,0.477391454,39.5044982,4414.434
826 HK Equity,20141231,9.153053121,4.942491824,1.924081419,16.49479466,2.622207279,1.698096617,7.47830166,4412.78
603 HK Equity,20141231,3.081147662,#N/A N/A,27.44207432,17.16480286,#N/A N/A,1.862346894,13.24822642,7007.421
653 HK Equity,20141231,1.413399704,13.07340473,5.334079407,9.239784996,-0.628032059,17.89099813,7.762819719,2776.504
451 HK Equity,20141231,#N/A N/A,22.07248223,8.564746448,7.986638575,15.76211076,0.339429699,-21.89708861,1496.9515
1567411D HK Equity,20141231,#N/A N/A,#N/A N/A,0.559088956,53.94818725,1.343531177,0.419541605,-0.492082882,86774
3618 HK Equity,20141231,5.444515725,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.159723664,#N/A N/A,33118.506
1421 HK Equity,20141231,2.76324043,8.742166393,#N/A N/A,27.54642439,-2.908916784,#N/A N/A,5.953960833,22.628298
380 HK Equity,20141231,126.623372,13.75765794,2.547468403,4.960770074,-0.149403706,122.9391656,0.188054858,546.649
145 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.89,#N/A N/A,34.002
1178 HK Equity,20141231,#N/A N/A,#N/A N/A,0.238442047,-171.5395284,#N/A N/A,6.803491389,-422.9126214,14.42
817 HK Equity,20141231,9.678482475,6.065456869,0.62928932,47.61431166,2.766948719,0.332711942,-39.63069546,18522.3248
153 HK Equity,20141231,0.795932213,0.521572324,517.2367555,30.83727687,-2.136129542,19.49405847,9.55226035,1288.606
1035 HK Equity,20141231,1.488534551,#N/A N/A,#N/A N/A,21.31090463,-2.261573775,#N/A N/A,26.52977327,238.385
123 HK Equity,20141231,6.880266962,7.275161408,0.249131097,29.06078792,4.430319016,1.176452115,-3.594882725,14475.048
1381 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,46.56438752,1.602105855,#N/A N/A,46.99194788,508.934
3823 HK Equity,20141231,#N/A N/A,#N/A N/A,5.557233763,-167.4518201,#N/A N/A,3.228815918,-36.42815429,179.795
326 HK Equity,20141231,36.32478734,6.614228656,1.103741879,12.00867943,0.079230781,1.25422006,-0.102383826,1293.173
2866 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,36249.16624
8123 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,-187.625788,#N/A N/A,0.705539915,-108.7577729,29.49686
975 HK Equity,20141231,#N/A N/A,13.63953367,3.630643334,6.433446384,10.89704023,0.5381895,10.96831428,382.128
209 HK Equity,20141231,#N/A N/A,#N/A N/A,1.788468637,-5.092881966,#N/A N/A,2.227027704,1.052578943,319.976
3323 HK Equity,20141231,5.477315683,8.070020186,5.813043273,17.4083813,6.33978778,0.908576458,2.084113661,122937.105
1613 HK Equity,20141231,4.102564297,24.04997783,2.663421654,38.06438371,2.221598466,4.423763261,10.57105417,316.695
1880 HK Equity,20141231,#N/A N/A,8.611294793,#N/A N/A,15.46699334,-0.849837616,#N/A N/A,16.20640269,38611.9
700 HK Equity,20141231,125.8561711,26.87535317,53.98616215,34.90919369,-0.523532551,6.635723938,40.01805808,74923.813
119 HK Equity,20141231,5.417493961,8.941642774,0.279239731,18.85024133,6.297085171,2.47412256,-18.45207829,29476.116
639 HK Equity,20141231,24.54254626,4.456441027,8.082557441,18.33471647,-3.961779113,0.262956115,34.61629748,3648.712
8120 HK Equity,20141231,#N/A N/A,#N/A N/A,14.90322581,-113.2555908,#N/A N/A,0.432336705,-923.2268064,13.549
698 HK Equity,20141231,7.654373838,8.832437171,2.521017752,13.30003115,0.600230217,2.887767561,3.84563193,4038.374
439 HK Equity,20141231,#N/A N/A,#N/A N/A,5.95194261,-31.99509843,#N/A N/A,2.821856809,7.809015013,113.433
346 HK Equity,20141231,7.128713056,17.65120042,#N/A N/A,0.70475805,0.978288886,2.047316536,2.283793887,20709.093
2369 HK Equity,20141231,1.877143657,13.61398734,6.651488585,2.519649966,2.526121525,30.42704069,-2.581454973,24910.603
1323 HK Equity,20141231,#N/A N/A,#N/A N/A,10.89061646,-26.46364013,#N/A N/A,17.70119255,-4.00764509,514.317
1109 HK Equity,20141231,15.9634576,5.657794363,0.378412189,30.26397065,2.074457172,1.249341039,-3.617879252,65919.68261
729 HK Equity,20141231,#N/A N/A,345.6388356,1.275190402,-92.73663855,-4.061137843,0.229404544,-174.5951833,179.958
1194 HK Equity,20141231,#N/A N/A,7.076674239,5.276736591,42.91711807,4.090639941,0.502780825,16.71677294,1575.651
1101 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
476 HK Equity,20141231,#N/A N/A,#N/A N/A,0.001125113,#N/A N/A,#N/A N/A,0,#N/A N/A,0
1026 HK Equity,20141231,#N/A N/A,46.9745845,0.862452668,-8.431428845,-79.55292807,2.476270453,48.78020364,240.327
1966 HK Equity,20141231,18.23374822,9.580026256,0.362694389,33.32643944,4.829906011,0.523669488,-56.9487246,5014.1
1299 HK Equity,20141231,47.27481446,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21454
2626 HK Equity,20141231,#N/A N/A,11.87346481,4.387770435,2.98300583,7.119426422,2.7933472,-0.712925941,30106.914
1188 HK Equity,20141231,#N/A N/A,#N/A N/A,0.513432626,-730.7861103,#N/A N/A,0.556970711,#N/A N/A,25.976
985 HK Equity,20141231,1.589600729,#N/A N/A,1.265050364,29.58766082,-10.74504232,1.020752812,53.48489785,125.843
1138 HK Equity,20141231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12678.96465
1678 HK Equity,20141231,0.370942711,3.780534352,20.8968464,30.60626341,-2.459098515,2.992277266,26.4922549,1232.715
1046 HK Equity,20141231,#N/A N/A,0.423000029,58.16666667,-4.964158841,-0.943183302,4.351055371,15.26964929,205.211
958 HK Equity,20141231,25.76407863,10.68228188,#N/A N/A,46.74333782,6.709573419,0.133743431,58.99537525,5979.128
941 HK Equity,20141231,10.32179103,3.290021713,#N/A N/A,19.42128472,-1.913054561,1.164475453,35.90373055,651754
151 HK Equity,20141231,17.59279841,18.82101813,4.374709423,22.48430166,-0.19935448,2.836398602,12.89890014,24031.46267
17 HK Equity,20141231,8.367689121,9.124216327,0.529403611,29.70119166,2.989986617,0.470580543,9.66618349,56501.1
