,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
2899 HK Equity,20121231,10.91044731,#N/A N/A,4.670790912,18.5885508,#N/A N/A,2.343767536,9.29882635,45456.116
399 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.475
661 HK Equity,20121231,4.647856613,16.4565287,12.41563448,0.957152569,9.120917873,10.18932761,-1.482630294,28195.296
362 HK Equity,20121231,#N/A N/A,#N/A N/A,2.504887474,-137.5291757,#N/A N/A,0.061730217,#N/A N/A,213.791
3337 HK Equity,20121231,9.536325209,7.496801543,2.629729435,17.30377906,0.729167534,2.481357137,12.98234217,1536.202
1318 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,342.742
8171 HK Equity,20121231,#N/A N/A,#N/A N/A,13.43836978,-0.973085253,#N/A N/A,61.31005789,#N/A N/A,169.461
858 HK Equity,20121231,9.248982979,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,161.733
815 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,9.94777628,-0.116766349,#N/A N/A,15.01757579,1151.584
998 HK Equity,20121231,5.504846205,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.91022044,#N/A N/A,148804
488 HK Equity,20121231,76.60448836,3.784997048,2.816418292,132.5393416,1.140057294,0.089789308,59.97456453,875.156
119 HK Equity,20121231,3.432362837,8.218073701,0.16008719,34.42362345,5.185224338,2.001295715,-19.98998965,16383.04
149 HK Equity,20121231,0.302149723,#N/A N/A,1.41961315,-38.86437696,#N/A N/A,0.133852339,-39.00423912,277.416
386 HK Equity,20121231,6.443261734,5.260813927,#N/A N/A,3.386329134,1.869418246,3.74305545,5.291940464,2574292
1299 HK Equity,20121231,67.15714213,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14137
2626 HK Equity,20121231,#N/A N/A,17.0660184,3.859649481,1.44216063,9.951770826,2.572306673,-3.22363286,24034.84
689 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,-161.6587999,#N/A N/A,0.363468555,-290.0380395,100.422
681 HK Equity,20121231,6.820481029,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,996.2003802
197 HK Equity,20121231,#N/A N/A,3.764207534,7.635271498,-1.608841255,-6.676897652,1.379500658,#N/A N/A,2027.857
1141 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,635.404
8266 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,82.56
757 HK Equity,20121231,#N/A N/A,#N/A N/A,3.441282063,-18.31197402,#N/A N/A,0.886366474,#N/A N/A,1785.482
2328 HK Equity,20121231,11.51071676,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,145747
1898 HK Equity,20121231,4.023810242,#N/A N/A,10.51845344,14.36759285,#N/A N/A,1.101341778,#N/A N/A,93174.216
970 HK Equity,20121231,4.788213452,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3881.678
916 HK Equity,20121231,10.62620086,9.695155375,7.231084135,32.67342331,5.728387256,0.281790767,25.36104841,17227.399
343 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,26.67
412 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-36.212
716 HK Equity,20121231,3.742330388,4.950979249,3.555257424,8.595085597,1.388393429,5.247169428,2.269756423,1679.96
379 HK Equity,20121231,#N/A N/A,#N/A N/A,7.376957334,-21.22017631,#N/A N/A,0.677160854,#N/A N/A,324.658
639 HK Equity,20121231,3.973803188,2.290522793,12.78888137,50.26702692,-0.869086924,0.483015794,41.19096924,6579.112
8239 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,71.017
1918 HK Equity,20121231,37.19041413,4.496940632,0.390391355,30.37194554,2.370755684,22.86113232,21.01532181,13580.187
227 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,315.076
2007 HK Equity,20121231,29.14683217,6.20184061,0.511786969,30.16811504,2.063534299,1.082456909,-9.474979324,35873.292
8085 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,75.067
8100 HK Equity,20121231,#N/A N/A,#N/A N/A,0.419306184,-130.0049801,#N/A N/A,0.985038018,#N/A N/A,4.016
136 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,207.624
559 HK Equity,20121231,#N/A N/A,#N/A N/A,10.85923818,-2.098617381,-40.93474307,2.07152346,#N/A N/A,311.872
845 HK Equity,20121231,1.588692996,#N/A N/A,0.205566011,29.64386986,#N/A N/A,0.917304022,34.18450023,8548.813
1080 HK Equity,20121231,1.929778498,11.44554781,3.84965336,4.995721472,2.458845277,2.79260416,10.14157632,2013.543
1171 HK Equity,20121231,4.18573698,7.885468704,24.58363699,17.82829579,1.91203093,1.613452357,21.10101595,55697.21087
1101 HK Equity,20121231,1.026157148,17.84368899,3.649848885,11.2871352,12.15345197,0.774540504,-35.66667667,12663.86
1829 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,11.31852392,-5.872679092,#N/A N/A,31.37753648,21033.149
762 HK Equity,20121231,32.74199917,4.941350384,#N/A N/A,3.818324434,1.454465875,0.605222773,29.49459529,238403
1638 HK Equity,20121231,9.313979078,6.558165801,0.280277418,25.28511974,4.019505833,1.388426318,4.475825934,9427.355
1278 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
67 HK Equity,20121231,4.8724575,3.06580832,20.39574633,44.29070657,0.743571291,0.613346405,39.59185291,4542.725
182 HK Equity,20121231,20.61945762,10.01089519,4.120151618,18.61140688,1.849834831,0.961130206,25.66737832,901.1422788
230 HK Equity,20121231,8.063660376,4.93149354,0.490197676,25.98055166,2.028701771,4.589808395,-36.65733154,5224.712
1798 HK Equity,20121231,13.70368774,11.33336291,#N/A N/A,55.20317616,8.95004533,0.103482974,1.675359701,3985.95
